FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6
qN_L4	0.61	0.67	0.67	0.59	0.68	0.61
qN_Lss	0.65	0.71	0.72	0.63	0.72	0.63
qN_D1	0.25	0.23	0.26	0.27	0.24	0.27
qN_D2	0.22	0.20	0.23	0.22	0.21	0.20
qN_D3	0.22	0.19	0.23	0.20	0.20	0.20
qP_L1	-0.03	0.00	-0.05	-0.05	-0.05	-0.02
qP_L2	-0.02	-0.05	-0.02	-0.06	-0.03	-0.09
qP_L3	0.01	-0.05	0.00	-0.04	-0.00	-0.12
qP_L4	-0.01	-0.03	-0.04	-0.04	-0.08	-0.05
qP_Lss	-0.05	-0.03	-0.09	-0.07	-0.04	-0.05
qP_D1	0.94	0.97	0.95	0.94	0.93	0.94
qP_D2	0.94	0.96	0.96	0.94	0.95	0.96
qP_D3	0.95	0.97	0.96	0.93	0.94	0.95
qL_L1	-0.37	-0.10	-0.53	-0.69	-0.54	-0.59
qL_L2	-0.33	-0.54	-0.29	-0.65	-0.39	-1.11
qL_L3	-0.20	-0.53	-0.26	-0.83	-0.34	-1.43
qL_L4	-0.31	-0.47	-0.50	-0.61	-0.66	-1.14
qL_Lss	-0.54	-0.46	-0.79	-0.79	-0.55	-1.04
qL_D1	1.25	1.24	1.20	1.24	1.28	1.33
qL_D2	1.27	1.24	1.20	1.29	1.21	1.28
qL_D3	1.23	1.22	1.18	1.33	1.23	1.35
Rfd_L1	0.25	0.22	0.25	0.25	0.28	0.25
Rfd_L2	0.82	0.85	1.00	0.74	1.10	0.82
Rfd_L3	1.23	1.32	1.46	1.20	1.54	1.20
Rfd_L4	1.55	2.08	1.95	1.56	1.91	3.11
Rfd_Lss	1.73	2.52	2.33	1.78	2.36	1.97
