FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8
qN_L2	0.45	0.48	0.51	0.49	0.40	0.46	0.40	0.38
qN_L3	0.57	0.58	0.59	0.59	0.52	0.57	0.53	0.50
qN_L4	0.66	0.65	0.68	0.68	0.64	0.66	0.61	0.57
qN_Lss	0.70	0.69	0.71	0.72	0.68	0.70	0.66	0.62
qN_D1	0.21	0.28	0.25	0.30	0.22	0.19	0.22	0.19
qN_D2	0.18	0.24	0.18	0.26	0.19	0.17	0.20	0.14
qN_D3	0.17	0.23	0.17	0.26	0.18	0.16	0.19	0.14
qP_L1	0.03	-0.04	-0.01	-0.04	-0.00	-0.00	-0.03	-0.03
qP_L2	-0.03	-0.03	-0.00	-0.01	-0.04	-0.06	-0.09	-0.06
qP_L3	0.01	-0.01	0.06	0.01	0.05	-0.07	-0.11	-0.03
qP_L4	0.05	-0.01	0.01	-0.04	0.11	-0.08	-0.07	0.01
qP_Lss	0.14	-0.01	0.05	-0.05	0.18	-0.01	0.04	0.03
qP_D1	0.96	0.95	0.95	0.96	0.98	0.96	0.96	0.96
qP_D2	0.96	0.95	0.95	0.96	0.96	0.96	0.96	0.96
qP_D3	0.97	0.95	0.95	0.97	0.97	0.96	0.95	0.96
qL_L1	0.02	-0.47	-0.20	-0.50	-0.43	-0.41	-0.64	-0.61
qL_L2	-0.48	-0.46	-0.14	-0.31	-0.89	-0.81	-1.13	-0.80
qL_L3	-0.37	-0.30	0.02	-0.25	-0.38	-0.84	-1.54	-0.68
qL_L4	-0.30	-0.35	-0.32	-0.60	-0.28	-0.91	-1.12	-0.54
qL_Lss	-0.15	-0.45	-0.12	-0.63	-0.48	-0.73	-0.68	-0.60
qL_D1	1.22	1.22	1.18	1.17	1.19	1.22	1.25	1.30
qL_D2	1.22	1.20	1.20	1.20	1.27	1.24	1.26	1.26
qL_D3	1.21	1.22	1.21	1.16	1.22	1.25	1.28	1.27
Rfd_L1	0.27	0.25	0.25	0.26	0.36	0.27	0.27	0.25
Rfd_L2	0.93	0.92	1.02	0.99	0.97	0.92	0.73	0.70
Rfd_L3	1.52	1.33	1.49	1.50	1.64	1.44	1.31	1.20
Rfd_L4	2.17	1.78	2.02	2.07	3.45	2.06	2.13	2.58
Rfd_Lss	3.36	2.17	2.83	2.51	4.45	2.88	2.96	2.81
