FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10
qN_L2	0.44	0.40	0.46	0.44	0.47	0.33	0.42	0.39	0.31	0.43
qN_L3	0.54	0.48	0.56	0.53	0.55	0.46	0.54	0.50	0.43	0.54
qN_L4	0.63	0.57	0.63	0.62	0.63	0.56	0.62	0.58	0.53	0.63
qN_Lss	0.67	0.61	0.68	0.65	0.67	0.61	0.65	0.62	0.58	0.67
qN_D1	0.22	0.23	0.29	0.26	0.21	0.26	0.23	0.21	0.20	0.20
qN_D2	0.18	0.19	0.24	0.22	0.19	0.21	0.18	0.18	0.17	0.17
qN_D3	0.18	0.17	0.23	0.21	0.17	0.20	0.16	0.17	0.15	0.16
qP_L1	-0.00	-0.02	-0.02	-0.01	-0.05	0.00	-0.01	0.03	0.04	0.02
qP_L2	-0.02	-0.02	-0.05	-0.00	-0.06	0.00	-0.01	-0.03	0.02	0.00
qP_L3	-0.02	-0.01	-0.00	0.00	-0.05	-0.01	-0.01	-0.05	0.07	-0.00
qP_L4	-0.01	-0.05	0.03	0.01	-0.43	-0.00	0.01	0.00	0.11	0.02
qP_Lss	-0.00	-0.04	-0.05	0.02	-0.13	0.00	0.01	0.04	0.17	0.09
qP_D1	0.97	0.97	0.96	0.90	0.96	0.96	0.95	0.96	0.96	0.96
qP_D2	0.97	0.97	0.97	0.97	0.97	0.96	0.95	0.95	0.96	0.96
qP_D3	0.97	0.97	0.97	0.97	0.96	0.96	0.96	0.95	0.96	0.96
qL_L1	-0.16	-0.53	-0.26	-0.19	-0.69	-0.19	-0.19	-0.03	0.15	-0.01
qL_L2	-0.26	-0.48	-0.45	-0.21	-0.79	-0.30	-0.28	-0.54	-0.09	-0.25
qL_L3	-0.27	-0.53	-0.24	-0.22	-0.87	-0.37	-0.25	-0.72	0.20	-0.32
qL_L4	-0.31	-0.72	-0.18	-0.24	-6.37	-0.43	-0.23	-0.54	0.17	-0.34
qL_Lss	-0.33	-0.90	-0.91	-0.26	-1.63	-0.53	-0.22	-0.36	0.44	-0.07
qL_D1	1.16	1.17	1.15	0.37	1.19	1.18	1.21	1.23	1.24	1.19
qL_D2	1.18	1.17	1.14	1.18	1.15	1.22	1.21	1.31	1.26	1.21
qL_D3	1.15	1.16	1.16	1.17	1.21	1.20	1.19	1.31	1.24	1.22
Rfd_L1	0.22	0.30	0.22	0.25	0.29	0.24	0.20	0.28	0.26	0.25
Rfd_L2	0.78	0.85	0.80	0.82	1.05	0.60	0.73	0.76	0.56	0.82
Rfd_L3	1.12	1.13	1.24	1.35	1.44	0.95	1.12	1.04	0.94	1.20
Rfd_L4	1.59	1.55	1.72	1.59	1.88	1.42	1.56	1.55	1.48	1.83
Rfd_Lss	2.00	1.95	2.02	2.13	2.57	1.73	1.82	1.84	1.78	2.34
