FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17
Fv_D2	482.76	535.55	505.59	475.19	481.61	570.53	648.65	355.93	434.24	383.19	305.20	326.32	244.94	341.54	434.69	348.84	599.85
Fv_D3	488.85	539.77	515.10	476.88	484.78	579.37	654.92	361.82	442.32	383.31	313.98	324.92	251.37	353.54	445.56	354.09	610.62
Fq_L1	9.10	-3.64	8.83	-7.35	3.18	11.82	10.70	10.63	0.51	8.84	16.06	14.93	9.09	12.21	14.74	12.92	15.20
Fq_L2	7.76	11.38	4.98	8.89	3.11	4.43	9.14	-1.34	7.64	3.33	-0.43	12.48	-6.37	4.50	7.32	-2.38	-12.84
Fq_L3	12.23	11.55	6.32	6.57	16.90	13.66	15.74	0.13	10.64	6.25	-3.77	-0.42	2.98	-0.99	17.06	6.54	19.28
Fq_L4	13.76	9.30	11.33	7.06	11.10	18.80	11.53	9.57	9.22	8.22	1.24	-4.36	10.85	9.45	16.11	22.64	17.95
Fq_Lss	13.44	6.92	1.39	8.03	10.35	10.84	20.41	13.12	5.79	10.24	5.10	-0.69	17.86	4.75	16.14	28.66	29.78
Fq_D1	413.88	473.59	453.18	420.84	420.63	504.37	577.48	301.84	382.17	338.86	250.22	290.92	207.08	291.38	384.44	292.96	534.76
Fq_D2	457.29	507.11	483.94	453.77	458.92	543.77	616.91	336.75	413.27	363.62	291.94	316.38	236.81	326.22	405.44	329.93	579.08
Fq_D3	465.84	512.31	496.21	456.67	463.83	553.62	624.69	347.46	420.37	363.48	300.37	313.40	241.57	336.32	421.39	336.75	593.05
QY_max	0.88	0.88	0.86	0.87	0.87	0.87	0.87	0.88	0.88	0.89	0.89	0.88	0.89	0.88	0.88	0.89	0.86
Fv/Fm_L1	0.87	0.87	0.85	0.85	0.86	0.85	0.86	0.87	0.87	0.88	0.88	0.88	0.88	0.87	0.87	0.88	0.85
Fv/Fm_L2	0.83	0.82	0.79	0.80	0.80	0.80	0.82	0.83	0.83	0.84	0.84	0.84	0.84	0.81	0.83	0.85	0.79
Fv/Fm_L3	0.80	0.79	0.75	0.76	0.77	0.76	0.77	0.79	0.81	0.81	0.81	0.80	0.82	0.78	0.80	0.82	0.75
Fv/Fm_L4	0.77	0.75	0.72	0.72	0.73	0.73	0.74	0.76	0.77	0.79	0.78	0.76	0.79	0.75	0.77	0.79	0.72
Fv/Fm_Lss	0.75	0.73	0.69	0.70	0.71	0.71	0.72	0.74	0.75	0.76	0.76	0.74	0.77	0.73	0.75	0.77	0.70
Fv/Fm_D1	0.85	0.86	0.84	0.85	0.85	0.84	0.85	0.85	0.86	0.87	0.86	0.87	0.87	0.85	0.86	0.86	0.83
Fv/Fm_D2	0.86	0.86	0.85	0.85	0.85	0.85	0.86	0.86	0.87	0.87	0.87	0.87	0.88	0.87	0.86	0.88	0.84
Fv/Fm_D3	0.86	0.86	0.85	0.85	0.85	0.85	0.86	0.86	0.87	0.87	0.88	0.87	0.88	0.87	0.86	0.88	0.84
QY_L1	0.01	-0.01	0.01	-0.02	-0.01	0.01	0.01	0.02	-0.01	0.01	0.03	0.02	0.01	0.02	0.02	0.02	0.02
QY_L2	0.01	0.02	0.00	0.01	-0.00	0.00	0.01	-0.03	0.01	-0.01	-0.03	0.02	-0.07	-0.01	0.01	-0.02	-0.04
QY_L3	0.02	0.02	0.01	0.00	0.03	0.02	0.03	-0.03	0.02	-0.02	-0.05	-0.03	-0.03	-0.04	0.03	0.01	0.03
QY_L4	0.03	0.01	0.02	0.00	0.02	0.04	0.02	0.01	0.01	-0.01	-0.04	-0.07	0.02	0.01	0.04	0.09	0.03
QY_Lss	0.03	0.01	-0.02	0.01	0.01	0.01	0.05	0.04	-0.00	0.01	-0.03	-0.06	0.08	-0.03	0.04	0.13	0.08
QY_D1	0.80	0.80	0.80	0.80	0.79	0.80	0.80	0.81	0.81	0.81	0.81	0.82	0.81	0.81	0.80	0.82	0.81
QY_D2	0.82	0.82	0.81	0.82	0.81	0.81	0.81	0.81	0.82	0.83	0.84	0.85	0.85	0.83	0.80	0.83	0.81
QY_D3	0.82	0.82	0.82	0.82	0.82	0.81	0.82	0.83	0.82	0.82	0.84	0.84	0.84	0.83	0.82	0.83	0.82
NPQ_L1	0.11	0.14	0.11	0.15	0.16	0.12	0.10	0.10	0.09	0.10	0.11	0.11	0.12	0.12	0.11	0.08	0.11
NPQ_L2	0.55	0.60	0.67	0.73	0.75	0.64	0.53	0.55	0.46	0.50	0.62	0.50	0.56	0.71	0.46	0.46	0.75
NPQ_L3	0.89	0.99	1.11	1.13	1.13	1.05	0.98	1.00	0.78	0.85	0.98	0.98	0.88	1.05	0.84	0.76	1.14
NPQ_L4	1.26	1.44	1.54	1.62	1.60	1.41	1.42	1.44	1.16	1.17	1.30	1.46	1.18	1.41	1.22	1.10	1.55
NPQ_Lss	1.55	1.77	1.89	1.93	1.92	1.73	1.70	1.73	1.41	1.47	1.56	1.78	1.44	1.72	1.47	1.37	1.85
NPQ_D1	0.29	0.25	0.20	0.23	0.29	0.24	0.21	0.34	0.22	0.22	0.33	0.18	0.28	0.25	0.24	0.24	0.35
NPQ_D2	0.19	0.18	0.14	0.16	0.21	0.17	0.14	0.20	0.14	0.16	0.17	0.12	0.16	0.13	0.18	0.12	0.24
NPQ_D3	0.18	0.17	0.12	0.16	0.21	0.15	0.13	0.18	0.12	0.16	0.14	0.12	0.13	0.10	0.15	0.10	0.23
qN_L1	0.10	0.13	0.10	0.14	0.14	0.11	0.10	0.08	0.07	0.07	0.09	0.07	0.08	0.09	0.09	0.07	0.10
qN_L2	0.38	0.41	0.44	0.46	0.47	0.43	0.39	0.38	0.34	0.34	0.39	0.34	0.36	0.43	0.33	0.33	0.47
qN_L3	0.51	0.55	0.58	0.58	0.58	0.57	0.55	0.54	0.47	0.48	0.52	0.53	0.49	0.55	0.49	0.47	0.59
qN_L4	0.61	0.65	0.67	0.68	0.67	0.64	0.65	0.63	0.58	0.57	0.60	0.63	0.56	0.62	0.60	0.57	0.67
qN_Lss	0.66	0.70	0.72	0.72	0.71	0.70	0.69	0.68	0.64	0.63	0.65	0.68	0.62	0.67	0.64	0.63	0.71
qN_D1	0.24	0.21	0.17	0.20	0.23	0.21	0.19	0.26	0.18	0.17	0.24	0.14	0.21	0.19	0.20	0.20	0.26
qN_D2	0.16	0.16	0.12	0.14	0.17	0.15	0.13	0.16	0.12	0.12	0.13	0.08	0.12	0.09	0.15	0.10	0.19
qN_D3	0.15	0.15	0.11	0.14	0.16	0.14	0.12	0.15	0.10	0.12	0.11	0.09	0.09	0.06	0.13	0.09	0.18
qP_L1	0.01	-0.02	0.01	-0.03	-0.01	0.01	0.01	0.02	-0.01	0.01	0.03	0.02	0.01	0.02	0.02	0.03	0.02
qP_L2	0.01	0.02	0.00	0.01	-0.01	-0.00	0.01	-0.04	0.00	-0.02	-0.04	0.02	-0.09	-0.02	0.00	-0.03	-0.06
qP_L3	0.02	0.02	0.00	-0.00	0.04	0.02	0.03	-0.05	0.02	-0.03	-0.08	-0.05	-0.04	-0.07	0.04	0.01	0.04
qP_L4	0.03	0.01	0.02	-0.01	0.01	0.04	0.02	0.00	0.01	-0.02	-0.07	-0.10	0.01	0.00	0.04	0.10	0.04
qP_Lss	0.03	-0.00	-0.04	-0.00	-0.00	0.01	0.06	0.03	-0.01	-0.00	-0.06	-0.11	0.09	-0.07	0.04	0.16	0.11
qP_D1	0.94	0.94	0.95	0.95	0.94	0.95	0.95	0.96	0.95	0.94	0.94	0.95	0.94	0.95	0.94	0.95	0.98
qP_D2	0.95	0.95	0.96	0.96	0.95	0.95	0.95	0.95	0.95	0.95	0.96	0.97	0.97	0.95	0.93	0.95	0.97
qP_D3	0.95	0.95	0.96	0.96	0.96	0.95	0.95	0.96	0.95	0.95	0.96	0.97	0.96	0.95	0.95	0.95	0.98
qL_L1	-0.06	-0.22	-0.03	-0.30	-0.17	-0.01	0.01	-0.04	-0.25	-0.14	0.06	-0.12	-0.19	-0.14	0.04	0.09	0.03
qL_L2	-0.10	-0.03	-0.14	-0.08	-0.22	-0.12	-0.02	-0.46	-0.14	-0.50	-0.58	-0.17	-1.24	-0.44	-0.15	-0.42	-0.44
qL_L3	-0.08	-0.05	-0.15	-0.19	-0.05	-0.10	0.04	-0.59	-0.14	-0.59	-0.93	-0.77	-0.93	-0.79	-0.04	-0.23	-0.03
qL_L4	-0.08	-0.14	-0.18	-0.32	-0.19	-0.06	-0.05	-0.47	-0.23	-0.50	-0.84	-0.96	-0.57	-0.41	-0.09	0.17	-0.05
qL_Lss	-0.12	-0.20	-0.40	-0.27	-0.31	-0.22	0.05	-0.36	-0.36	-0.48	-0.76	-0.95	-0.30	-0.94	-0.14	0.32	0.12
qL_D1	1.27	1.29	1.22	1.24	1.27	1.22	1.23	1.19	1.26	1.36	1.33	1.32	1.34	1.27	1.28	1.30	1.09
qL_D2	1.27	1.27	1.18	1.21	1.22	1.21	1.23	1.28	1.26	1.29	1.29	1.20	1.23	1.28	1.34	1.34	1.12
qL_D3	1.24	1.27	1.17	1.20	1.21	1.21	1.22	1.22	1.27	1.31	1.31	1.22	1.28	1.30	1.29	1.32	1.10
Rfd_L1	0.19	0.18	0.18	0.21	0.22	0.20	0.16	0.22	0.19	0.22	0.26	0.26	0.27	0.26	0.21	0.20	0.19
Rfd_L2	0.66	0.71	0.77	0.90	0.87	0.75	0.62	0.66	0.64	0.65	0.75	0.76	0.69	0.89	0.58	0.57	0.78
Rfd_L3	1.06	1.14	1.28	1.33	1.40	1.24	1.13	1.15	1.03	1.05	1.15	1.23	1.20	1.25	1.06	0.97	1.37
Rfd_L4	1.52	1.65	1.82	1.92	1.89	1.73	1.61	1.86	1.49	1.48	1.58	1.70	1.73	1.83	1.54	1.62	1.84
Rfd_Lss	2.01	2.00	2.10	2.29	2.28	2.05	2.03	2.39	1.76	1.94	1.94	2.15	2.43	2.29	1.85	2.13	2.47
