FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14
QY_L3	0.04	0.04	0.04	0.06	0.03	0.03	0.04	0.04	0.00	0.04	0.03	0.06	0.05	0.03
QY_L4	0.07	0.07	0.04	0.08	0.04	0.02	0.05	0.07	-0.01	0.06	0.04	0.09	0.07	0.05
QY_Lss	0.08	0.09	0.05	0.09	0.05	0.04	0.06	0.06	0.00	0.09	0.05	0.11	0.07	0.06
QY_D1	0.82	0.81	0.81	0.81	0.82	0.83	0.82	0.80	0.83	0.82	0.83	0.81	0.82	0.83
QY_D2	0.82	0.81	0.82	0.82	0.83	0.83	0.82	0.82	0.84	0.82	0.83	0.81	0.82	0.83
QY_D3	0.82	0.82	0.82	0.82	0.83	0.83	0.82	0.82	0.84	0.83	0.84	0.81	0.82	0.84
NPQ_L1	0.12	0.11	0.11	0.11	0.13	0.10	0.13	0.09	0.12	0.10	0.14	0.11	0.10	0.12
NPQ_L2	0.49	0.56	0.52	0.47	0.55	0.41	0.48	0.54	0.44	0.38	0.58	0.43	0.40	0.34
NPQ_L3	0.84	0.81	0.86	0.77	0.89	0.70	0.75	0.87	0.79	0.68	0.86	0.75	0.68	0.67
NPQ_L4	1.16	1.04	1.17	1.06	1.21	0.97	1.02	1.17	1.08	0.96	1.21	1.04	0.96	0.96
NPQ_Lss	1.39	1.17	1.42	1.23	1.40	1.10	1.16	1.43	1.27	1.08	1.35	1.19	1.13	1.13
NPQ_D1	0.34	0.30	0.25	0.32	0.29	0.29	0.34	0.23	0.28	0.25	0.34	0.27	0.26	0.28
NPQ_D2	0.26	0.21	0.18	0.22	0.21	0.19	0.24	0.16	0.21	0.18	0.25	0.18	0.17	0.18
NPQ_D3	0.23	0.18	0.17	0.20	0.20	0.17	0.23	0.15	0.20	0.16	0.21	0.17	0.15	0.15
qN_L1	0.11	0.10	0.10	0.10	0.10	0.08	0.11	0.09	0.08	0.09	0.10	0.11	0.08	0.10
qN_L2	0.36	0.40	0.37	0.35	0.38	0.30	0.34	0.39	0.30	0.29	0.38	0.34	0.31	0.27
qN_L3	0.50	0.50	0.51	0.48	0.50	0.44	0.46	0.52	0.46	0.44	0.48	0.48	0.44	0.43
qN_L4	0.59	0.57	0.59	0.57	0.59	0.53	0.54	0.60	0.54	0.54	0.57	0.57	0.53	0.53
qN_Lss	0.63	0.60	0.65	0.60	0.63	0.56	0.58	0.66	0.59	0.57	0.61	0.61	0.58	0.57
qN_D1	0.25	0.25	0.21	0.26	0.23	0.23	0.26	0.21	0.21	0.21	0.24	0.23	0.22	0.23
qN_D2	0.19	0.18	0.16	0.19	0.17	0.16	0.20	0.15	0.15	0.16	0.18	0.17	0.15	0.15
qN_D3	0.17	0.16	0.15	0.17	0.16	0.14	0.18	0.14	0.15	0.14	0.15	0.15	0.13	0.13
qP_L1	0.03	0.04	0.01	0.03	0.01	0.02	-0.00	0.04	0.04	0.03	0.01	0.05	0.04	0.02
qP_L2	0.02	-0.01	0.01	0.01	-0.01	0.02	0.01	0.00	-0.00	0.02	-0.04	0.02	0.02	0.04
qP_L3	0.05	0.04	0.05	0.07	0.03	0.04	0.04	0.05	-0.01	0.05	0.03	0.08	0.06	0.04
qP_L4	0.09	0.09	0.05	0.10	0.04	0.03	0.05	0.09	-0.02	0.07	0.03	0.12	0.08	0.06
qP_Lss	0.11	0.11	0.06	0.12	0.06	0.05	0.07	0.08	-0.01	0.12	0.05	0.14	0.09	0.08
qP_D1	0.98	0.96	0.95	0.96	0.96	0.96	0.97	0.95	0.96	0.97	0.97	0.96	0.96	0.97
qP_D2	0.97	0.95	0.96	0.96	0.97	0.96	0.96	0.96	0.97	0.96	0.96	0.95	0.96	0.96
qP_D3	0.97	0.96	0.96	0.96	0.96	0.95	0.95	0.96	0.97	0.96	0.97	0.95	0.95	0.97
qL_L1	0.14	0.22	-0.01	0.15	-0.12	-0.00	-0.19	0.21	0.04	0.11	-0.21	0.28	0.15	-0.03
qL_L2	0.01	-0.16	-0.07	-0.06	-0.24	-0.04	-0.16	-0.05	-0.42	0.04	-0.67	0.04	-0.02	0.12
qL_L3	0.11	0.10	0.08	0.20	-0.13	0.00	-0.03	0.15	-0.53	0.10	-0.28	0.29	0.12	0.03
qL_L4	0.18	0.26	0.06	0.29	-0.10	-0.12	-0.03	0.27	-0.85	0.16	-0.41	0.36	0.14	0.04
qL_Lss	0.21	0.31	0.06	0.29	-0.09	-0.05	-0.04	0.18	-0.67	0.30	-0.30	0.43	0.16	0.08
qL_D1	1.13	1.17	1.20	1.17	1.17	1.19	1.14	1.20	1.26	1.15	1.14	1.16	1.21	1.17
qL_D2	1.19	1.21	1.22	1.21	1.19	1.24	1.20	1.18	1.23	1.20	1.21	1.20	1.23	1.21
qL_D3	1.19	1.20	1.21	1.22	1.21	1.28	1.25	1.18	1.29	1.20	1.17	1.21	1.26	1.20
Rfd_L1	0.20	0.19	0.18	0.20	0.21	0.22	0.22	0.14	0.27	0.21	0.28	0.18	0.22	0.23
Rfd_L2	0.60	0.62	0.62	0.56	0.68	0.57	0.63	0.57	0.59	0.50	0.74	0.48	0.55	0.51
Rfd_L3	1.04	0.96	1.06	0.97	1.12	0.95	1.00	0.98	1.02	0.88	1.23	0.91	0.93	0.88
Rfd_L4	1.49	1.31	1.43	1.39	1.55	1.25	1.35	1.38	1.38	1.26	1.71	1.30	1.32	1.29
Rfd_Lss	1.82	1.50	1.74	1.62	1.84	1.47	1.57	1.64	1.69	1.49	2.00	1.53	1.54	1.53
