FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12
QY_D2	0.81	0.81	0.82	0.83	0.84	0.83	0.82	0.84	0.85	0.83	0.81	0.81
QY_D3	0.82	0.82	0.83	0.84	0.84	0.83	0.83	0.84	0.85	0.82	0.82	0.82
NPQ_L1	0.12	0.11	0.11	0.12	0.12	0.11	0.10	0.15	0.12	0.11	0.14	0.12
NPQ_L2	0.59	0.37	0.73	0.44	0.42	0.45	0.46	0.55	0.53	0.41	0.70	0.59
NPQ_L3	0.86	0.66	1.00	0.77	0.79	0.78	0.91	0.89	1.02	0.72	1.05	0.98
NPQ_L4	1.11	0.96	1.29	1.07	1.10	1.14	1.28	1.17	1.40	1.03	1.45	1.38
NPQ_Lss	1.19	1.08	1.44	1.20	1.28	1.29	1.51	1.33	1.59	1.24	1.76	1.64
NPQ_D1	0.37	0.37	0.36	0.29	0.29	0.33	0.25	0.31	0.19	0.37	0.30	0.20
NPQ_D2	0.24	0.23	0.22	0.20	0.18	0.22	0.17	0.21	0.14	0.23	0.22	0.15
NPQ_D3	0.21	0.19	0.19	0.18	0.16	0.20	0.15	0.20	0.14	0.20	0.19	0.14
qN_L1	0.11	0.10	0.09	0.08	0.09	0.09	0.09	0.11	0.08	0.09	0.13	0.10
qN_L2	0.41	0.29	0.46	0.31	0.30	0.32	0.34	0.36	0.36	0.31	0.46	0.41
qN_L3	0.51	0.44	0.54	0.45	0.46	0.47	0.52	0.49	0.53	0.45	0.57	0.55
qN_L4	0.58	0.54	0.61	0.54	0.55	0.57	0.62	0.56	0.62	0.55	0.66	0.64
qN_Lss	0.60	0.57	0.64	0.57	0.60	0.61	0.66	0.60	0.65	0.60	0.70	0.69
qN_D1	0.30	0.29	0.28	0.21	0.22	0.25	0.21	0.23	0.15	0.29	0.25	0.18
qN_D2	0.21	0.20	0.18	0.15	0.15	0.18	0.15	0.16	0.10	0.19	0.19	0.13
qN_D3	0.19	0.17	0.16	0.14	0.12	0.16	0.14	0.15	0.10	0.17	0.17	0.13
qP_L1	0.01	-0.00	0.01	0.02	0.04	0.03	0.04	0.01	0.01	-0.01	0.02	-0.01
qP_L2	-0.02	-0.01	-0.04	-0.02	-0.02	-0.01	0.01	-0.04	-0.00	-0.00	0.03	0.02
qP_L3	0.05	0.05	0.04	-0.01	-0.03	0.00	0.03	0.01	-0.06	0.01	0.07	0.03
qP_L4	0.08	0.06	0.07	-0.01	0.04	-0.01	0.07	0.11	-0.07	0.02	0.07	0.04
qP_Lss	0.10	0.08	0.05	-0.01	0.09	0.03	0.10	0.15	-0.01	0.02	0.03	0.04
qP_D1	0.95	0.96	0.96	0.96	0.97	0.97	0.96	0.98	0.97	0.95	0.95	0.95
qP_D2	0.95	0.96	0.95	0.96	0.97	0.96	0.96	0.97	0.98	0.96	0.95	0.95
qP_D3	0.96	0.96	0.96	0.97	0.97	0.97	0.96	0.97	0.97	0.95	0.96	0.97
qL_L1	0.03	-0.09	-0.03	-0.09	0.01	0.01	0.24	-0.20	-0.26	-0.17	0.04	-0.10
qL_L2	-0.20	-0.14	-0.44	-0.58	-0.44	-0.30	-0.04	-0.75	-0.39	-0.20	0.07	-0.01
qL_L3	0.12	0.14	-0.04	-0.48	-0.62	-0.38	-0.00	-0.48	-0.80	-0.13	0.17	-0.02
qL_L4	0.19	0.16	0.03	-0.57	-0.28	-0.51	0.12	-0.06	-0.95	-0.13	0.11	0.03
qL_Lss	0.24	0.17	-0.06	-0.59	-0.20	-0.25	0.16	-0.03	-0.74	-0.18	-0.05	0.01
qL_D1	1.19	1.15	1.18	1.20	1.16	1.14	1.17	1.16	1.18	1.20	1.18	1.22
qL_D2	1.21	1.21	1.23	1.25	1.18	1.20	1.22	1.23	1.15	1.22	1.21	1.21
qL_D3	1.19	1.22	1.21	1.22	1.19	1.21	1.20	1.20	1.16	1.26	1.19	1.14
Rfd_L1	0.19	0.17	0.22	0.29	0.29	0.24	0.20	0.30	0.23	0.21	0.20	0.19
Rfd_L2	0.65	0.44	0.85	0.62	0.59	0.59	0.57	0.73	0.71	0.55	0.82	0.74
Rfd_L3	1.05	0.86	1.31	1.05	1.01	1.01	1.10	1.25	1.22	0.94	1.27	1.21
Rfd_L4	1.38	1.23	1.72	1.45	1.59	1.43	1.61	1.94	1.70	1.32	1.75	1.67
Rfd_Lss	1.52	1.38	1.87	1.66	2.08	1.69	1.97	2.71	2.08	1.57	2.01	1.99
