FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13
Fv/Fm_D2	0.85	0.86	0.86	0.87	0.88	0.86	0.86	0.87	0.87	0.84	0.87	0.85	0.85
Fv/Fm_D3	0.86	0.86	0.86	0.87	0.88	0.86	0.86	0.87	0.87	0.84	0.87	0.86	0.85
QY_L1	0.02	0.03	-0.01	0.04	0.05	0.05	0.03	0.04	0.02	0.00	0.07	-0.01	0.02
QY_L2	-0.02	-0.01	0.00	-0.02	-0.01	-0.02	0.01	0.01	0.05	-0.00	0.08	-0.01	0.02
QY_L3	0.04	0.04	0.02	-0.06	-0.03	0.05	0.02	0.03	0.07	0.03	0.07	0.04	0.03
QY_L4	0.07	0.07	0.03	-0.01	0.03	0.07	0.04	0.05	0.07	0.06	0.11	0.06	0.04
QY_Lss	0.08	0.09	0.04	0.04	0.07	0.10	0.06	0.07	0.14	0.08	0.14	0.03	0.05
QY_D1	0.81	0.81	0.82	0.84	0.84	0.81	0.82	0.82	0.83	0.80	0.82	0.81	0.80
QY_D2	0.82	0.82	0.82	0.84	0.85	0.82	0.83	0.84	0.83	0.81	0.82	0.82	0.82
QY_D3	0.82	0.82	0.83	0.85	0.85	0.83	0.83	0.84	0.82	0.81	0.83	0.82	0.82
NPQ_L1	0.12	0.11	0.18	0.14	0.13	0.11	0.09	0.09	0.11	0.14	0.10	0.18	0.11
NPQ_L2	0.56	0.53	0.71	0.49	0.46	0.61	0.46	0.37	0.34	0.73	0.25	0.73	0.51
NPQ_L3	0.87	0.79	0.97	0.86	0.85	0.90	0.83	0.68	0.64	1.02	0.50	1.00	0.86
NPQ_L4	1.15	1.05	1.27	1.14	1.14	1.19	1.15	0.96	0.91	1.34	0.85	1.29	1.25
NPQ_Lss	1.29	1.18	1.47	1.28	1.30	1.30	1.33	1.09	1.03	1.54	1.04	1.51	1.51
NPQ_D1	0.32	0.37	0.36	0.27	0.30	0.39	0.24	0.24	0.22	0.25	0.22	0.31	0.20
NPQ_D2	0.24	0.26	0.27	0.19	0.19	0.23	0.17	0.16	0.15	0.18	0.15	0.24	0.15
NPQ_D3	0.22	0.23	0.25	0.19	0.18	0.20	0.15	0.14	0.13	0.18	0.13	0.23	0.15
qN_L1	0.10	0.10	0.15	0.09	0.09	0.09	0.08	0.08	0.10	0.13	0.09	0.16	0.10
qN_L2	0.39	0.38	0.44	0.32	0.32	0.41	0.34	0.29	0.27	0.47	0.21	0.46	0.37
qN_L3	0.51	0.48	0.53	0.47	0.48	0.52	0.50	0.44	0.43	0.57	0.36	0.54	0.51
qN_L4	0.59	0.56	0.60	0.55	0.56	0.59	0.59	0.53	0.52	0.64	0.50	0.61	0.62
qN_Lss	0.62	0.59	0.64	0.58	0.59	0.61	0.63	0.57	0.55	0.68	0.55	0.65	0.67
qN_D1	0.26	0.29	0.27	0.19	0.23	0.30	0.21	0.20	0.18	0.22	0.19	0.25	0.18
qN_D2	0.20	0.22	0.22	0.14	0.15	0.20	0.15	0.14	0.12	0.17	0.14	0.20	0.14
qN_D3	0.19	0.20	0.20	0.14	0.14	0.17	0.14	0.12	0.12	0.16	0.11	0.19	0.14
qP_L1	0.03	0.04	-0.01	0.04	0.05	0.06	0.03	0.04	0.02	0.00	0.08	-0.01	0.02
qP_L2	-0.02	-0.02	-0.00	-0.04	-0.01	-0.02	0.01	0.01	0.05	-0.00	0.09	-0.02	0.02
qP_L3	0.05	0.05	0.02	-0.08	-0.05	0.05	0.02	0.04	0.09	0.04	0.09	0.04	0.04
qP_L4	0.08	0.08	0.03	-0.04	0.02	0.08	0.04	0.06	0.09	0.08	0.13	0.07	0.05
qP_Lss	0.10	0.11	0.04	0.03	0.07	0.12	0.07	0.08	0.17	0.10	0.18	0.03	0.06
qP_D1	0.96	0.96	0.97	0.97	0.97	0.96	0.96	0.95	0.96	0.96	0.95	0.95	0.95
qP_D2	0.96	0.96	0.97	0.97	0.97	0.96	0.96	0.96	0.95	0.96	0.95	0.96	0.97
qP_D3	0.96	0.96	0.97	0.98	0.97	0.96	0.97	0.96	0.95	0.96	0.95	0.96	0.97
qL_L1	0.10	0.19	-0.30	-0.11	0.14	0.34	0.12	0.24	0.02	-0.04	0.46	-0.27	0.08
qL_L2	-0.26	-0.24	-0.27	-0.75	-0.48	-0.27	-0.07	-0.06	0.23	-0.09	0.47	-0.28	0.04
qL_L3	0.09	0.09	-0.17	-1.17	-0.77	0.11	-0.04	0.04	0.23	0.07	0.32	-0.03	0.10
qL_L4	0.18	0.21	-0.19	-0.95	-0.42	0.16	-0.02	0.07	0.27	0.17	0.40	0.03	0.08
qL_Lss	0.23	0.30	-0.19	-0.59	-0.24	0.28	0.09	0.16	0.51	0.23	0.47	-0.13	0.10
qL_D1	1.16	1.17	1.15	1.17	1.18	1.16	1.17	1.24	1.20	1.17	1.24	1.21	1.19
qL_D2	1.19	1.21	1.17	1.20	1.24	1.22	1.19	1.24	1.25	1.18	1.29	1.21	1.15
qL_D3	1.19	1.22	1.15	1.16	1.23	1.21	1.18	1.24	1.29	1.16	1.27	1.19	1.14
Rfd_L1	0.20	0.20	0.26	0.33	0.30	0.22	0.19	0.20	0.22	0.19	0.24	0.24	0.17
Rfd_L2	0.62	0.58	0.86	0.65	0.62	0.67	0.58	0.48	0.52	0.82	0.43	0.83	0.59
Rfd_L3	1.08	0.97	1.21	1.07	1.05	1.10	1.02	0.86	0.95	1.19	0.70	1.25	1.00
Rfd_L4	1.47	1.32	1.60	1.61	1.62	1.51	1.43	1.22	1.25	1.63	1.24	1.64	1.45
Rfd_Lss	1.68	1.55	1.90	1.98	2.00	1.72	1.72	1.45	1.61	1.92	1.57	1.83	1.77
