FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15
Fm_Lss	402.95	328.07	274.85	428.51	338.80	382.51	215.71	323.12	289.95	316.88	350.66	252.58	246.38	207.71	242.25
Fm_D1	776.01	532.83	461.84	860.27	606.73	691.55	441.01	703.44	575.06	553.75	596.64	442.38	501.31	350.19	425.39
Fm_D2	817.36	567.83	484.39	897.37	633.97	725.99	459.54	737.54	595.12	588.86	641.66	466.13	519.34	382.06	446.24
Fm_D3	831.08	578.92	494.96	910.07	646.14	741.99	464.94	741.98	605.78	600.25	652.00	470.22	520.41	390.12	450.90
Ft_L1	846.48	599.25	512.96	904.83	656.75	742.94	470.36	747.21	595.42	592.54	664.26	472.27	528.58	389.17	469.50
Ft_L2	586.85	458.69	398.38	643.50	506.87	549.37	326.64	497.88	438.12	455.15	527.87	374.61	373.31	325.50	348.39
Ft_L3	471.09	364.73	322.76	503.02	393.63	432.79	269.82	410.40	350.39	368.19	411.23	300.66	303.18	259.22	275.52
Ft_L4	385.95	310.21	267.52	420.08	329.78	362.34	222.58	338.76	286.84	306.11	335.59	258.44	258.48	195.92	238.73
Ft_Lss	359.42	287.07	247.66	380.61	297.42	335.79	194.90	298.01	259.96	282.78	316.39	232.50	231.04	176.42	217.37
Ft_D1	145.65	98.07	82.11	159.80	109.50	128.03	81.81	139.60	101.42	101.07	108.59	77.94	92.80	58.98	73.53
Ft_D2	147.73	100.75	85.98	163.45	117.88	133.41	79.83	135.59	102.93	102.10	113.50	78.14	93.12	58.43	75.52
Ft_D3	147.78	101.65	86.28	160.20	113.76	128.55	76.14	136.14	97.70	100.66	111.82	74.81	91.63	60.35	74.36
Fo_L1	122.16	80.21	66.08	134.90	92.02	105.41	64.25	111.81	82.51	82.55	91.64	62.53	74.47	51.02	61.14
Fo_L2	114.01	76.64	63.81	126.05	88.24	99.85	60.73	104.17	78.41	79.17	88.14	60.45	70.58	49.43	58.24
Fo_L3	109.92	74.41	61.80	121.47	84.97	96.35	58.67	100.33	75.25	76.27	84.80	58.29	67.80	47.62	56.23
Fo_L4	106.45	72.23	59.76	117.07	82.08	93.45	56.15	95.75	72.49	73.91	82.00	56.52	65.07	46.13	54.46
Fo_Lss	104.65	71.54	59.03	114.74	80.69	92.06	54.63	92.82	71.17	72.88	80.82	55.50	63.54	45.08	53.81
Fo_D1	120.07	78.44	65.06	133.07	90.54	103.59	63.37	110.51	81.53	81.23	89.71	61.66	73.83	49.87	60.02
Fo_D2	121.04	79.20	65.51	133.93	91.16	104.36	63.81	111.36	81.94	81.98	90.69	62.15	74.26	50.52	60.45
Fo_D3	121.34	79.42	65.73	134.23	91.41	104.71	63.93	111.45	82.15	82.21	90.90	62.24	74.27	50.67	60.56
Fv_L1	746.65	541.74	449.38	807.12	583.17	671.94	418.99	645.14	542.11	536.23	599.86	424.56	454.75	357.53	422.89
Fv_L2	467.58	386.82	346.03	511.96	431.28	457.58	282.59	406.69	374.47	394.40	448.31	327.75	316.58	281.44	295.02
Fv_L3	380.82	319.95	281.06	415.66	341.21	369.20	230.32	331.71	292.06	312.31	351.31	260.31	252.11	219.65	238.12
Fv_L4	323.17	269.76	230.23	344.87	282.85	313.24	183.11	264.06	239.87	262.71	291.15	217.58	202.50	182.65	200.44
Fv_Lss	298.30	256.53	215.82	313.78	258.11	290.44	161.08	230.30	218.78	244.00	269.84	197.08	182.84	162.63	188.43
Fv_D1	655.94	454.39	396.78	727.20	516.19	587.96	377.64	592.93	493.53	472.52	506.93	380.72	427.48	300.32	365.37
Fv_D2	696.32	488.63	418.88	763.44	542.82	621.62	395.73	626.18	513.18	506.88	550.97	403.98	445.08	331.54	385.79
Fv_D3	709.73	499.50	429.23	775.84	554.74	637.28	401.01	630.52	523.63	518.04	561.10	407.98	446.14	339.45	390.34
Fq_L1	22.33	22.70	2.51	37.19	18.43	34.41	12.87	9.74	29.19	26.24	27.24	14.82	0.64	19.38	14.54
Fq_L2	-5.27	4.77	11.46	-5.49	12.65	8.06	16.67	12.97	14.76	18.43	8.58	13.59	13.85	5.37	4.87
Fq_L3	19.65	29.62	20.10	34.11	32.55	32.76	19.17	21.64	16.93	20.39	24.88	17.94	16.72	8.04	18.83
Fq_L4	43.67	31.78	22.47	41.86	35.15	44.35	16.68	21.05	25.53	30.51	37.56	15.67	9.09	32.86	16.18
Fq_Lss	43.53	41.00	27.19	47.90	41.38	46.72	20.82	25.11	29.99	34.10	34.27	20.08	15.34	31.29	24.88
Fq_D1	630.36	434.76	379.73	700.47	497.23	563.52	359.19	563.83	473.64	452.68	488.05	364.44	408.51	291.21	351.86
Fq_D2	669.63	467.08	398.42	733.93	516.09	592.58	379.71	601.95	492.19	486.76	528.15	388.00	426.22	323.63	370.71
Fq_D3	683.30	477.26	408.67	749.86	532.38	613.44	388.80	605.83	508.07	499.59	540.18	395.41	428.78	329.77	376.54
QY_max	0.87	0.88	0.88	0.87	0.88	0.87	0.88	0.87	0.88	0.88	0.88	0.88	0.87	0.88	0.88
Fv/Fm_L1	0.86	0.87	0.87	0.86	0.86	0.86	0.87	0.85	0.87	0.87	0.87	0.87	0.86	0.87	0.87
Fv/Fm_L2	0.80	0.83	0.84	0.80	0.83	0.82	0.82	0.79	0.83	0.83	0.83	0.84	0.82	0.85	0.83
Fv/Fm_L3	0.77	0.81	0.82	0.77	0.80	0.79	0.79	0.77	0.79	0.80	0.80	0.81	0.79	0.82	0.81
Fv/Fm_L4	0.75	0.79	0.79	0.75	0.77	0.77	0.76	0.73	0.77	0.78	0.78	0.79	0.75	0.80	0.78
Fv/Fm_Lss	0.74	0.78	0.78	0.73	0.76	0.76	0.74	0.71	0.75	0.77	0.77	0.78	0.74	0.78	0.77
Fv/Fm_D1	0.84	0.85	0.86	0.84	0.85	0.85	0.85	0.84	0.86	0.85	0.85	0.86	0.85	0.86	0.86
Fv/Fm_D2	0.85	0.86	0.86	0.85	0.86	0.86	0.86	0.85	0.86	0.86	0.86	0.87	0.86	0.87	0.86
Fv/Fm_D3	0.85	0.86	0.87	0.85	0.86	0.86	0.86	0.85	0.86	0.86	0.86	0.87	0.86	0.87	0.86
QY_L1	0.02	0.03	-0.00	0.03	0.02	0.04	0.02	0.01	0.04	0.04	0.03	0.02	-0.01	0.04	0.02
QY_L2	-0.02	-0.00	0.01	-0.01	0.02	0.01	0.03	0.02	0.02	0.03	0.01	0.02	0.03	0.00	-0.00
QY_L3	0.03	0.06	0.04	0.06	0.07	0.06	0.05	0.04	0.04	0.04	0.05	0.04	0.03	0.01	0.04
QY_L4	0.09	0.08	0.06	0.08	0.08	0.10	0.04	0.05	0.07	0.08	0.09	0.03	0.01	0.13	0.04
QY_Lss	0.10	0.11	0.08	0.10	0.11	0.11	0.06	0.06	0.09	0.09	0.08	0.05	0.04	0.13	0.07
QY_D1	0.81	0.81	0.82	0.81	0.82	0.81	0.81	0.80	0.82	0.82	0.82	0.82	0.81	0.83	0.83
QY_D2	0.82	0.82	0.82	0.82	0.81	0.82	0.82	0.82	0.83	0.83	0.82	0.83	0.82	0.85	0.83
QY_D3	0.82	0.82	0.82	0.82	0.82	0.83	0.83	0.82	0.84	0.83	0.83	0.84	0.82	0.84	0.83
NPQ_L1	0.10	0.12	0.14	0.10	0.12	0.11	0.14	0.15	0.10	0.11	0.11	0.10	0.14	0.09	0.14
NPQ_L2	0.64	0.51	0.44	0.63	0.47	0.55	0.62	0.70	0.52	0.45	0.43	0.38	0.56	0.36	0.57
NPQ_L3	0.95	0.78	0.72	0.94	0.79	0.86	0.92	1.02	0.88	0.77	0.77	0.69	0.91	0.70	0.89
NPQ_L4	1.24	1.06	1.04	1.26	1.10	1.13	1.34	1.43	1.22	1.05	1.07	0.97	1.29	0.98	1.20
NPQ_Lss	1.40	1.15	1.16	1.44	1.26	1.26	1.61	1.71	1.40	1.18	1.21	1.16	1.49	1.21	1.32
NPQ_D1	0.24	0.31	0.27	0.21	0.25	0.25	0.25	0.23	0.19	0.24	0.29	0.21	0.21	0.28	0.30
NPQ_D2	0.17	0.23	0.21	0.16	0.20	0.19	0.20	0.18	0.15	0.16	0.20	0.15	0.17	0.17	0.24
NPQ_D3	0.16	0.21	0.19	0.15	0.17	0.16	0.19	0.17	0.13	0.14	0.18	0.14	0.16	0.15	0.23
qN_L1	0.09	0.11	0.12	0.10	0.11	0.10	0.11	0.14	0.09	0.09	0.10	0.08	0.12	0.08	0.11
qN_L2	0.44	0.36	0.32	0.43	0.35	0.39	0.41	0.46	0.38	0.34	0.33	0.29	0.39	0.28	0.38
qN_L3	0.54	0.48	0.45	0.54	0.49	0.51	0.52	0.56	0.52	0.48	0.48	0.44	0.52	0.44	0.50
qN_L4	0.61	0.56	0.55	0.62	0.58	0.59	0.62	0.65	0.60	0.56	0.57	0.54	0.62	0.53	0.58
qN_Lss	0.64	0.58	0.58	0.66	0.61	0.62	0.67	0.70	0.64	0.60	0.60	0.58	0.65	0.59	0.61
qN_D1	0.20	0.25	0.22	0.19	0.21	0.21	0.21	0.21	0.17	0.20	0.24	0.18	0.18	0.23	0.23
qN_D2	0.15	0.20	0.18	0.15	0.17	0.17	0.16	0.16	0.14	0.15	0.17	0.13	0.14	0.14	0.19
qN_D3	0.14	0.18	0.16	0.13	0.15	0.15	0.15	0.16	0.12	0.13	0.16	0.12	0.14	0.12	0.18
qP_L1	0.02	0.03	-0.01	0.04	0.02	0.04	0.02	0.01	0.05	0.04	0.04	0.02	-0.01	0.04	0.02
qP_L2	-0.02	-0.00	0.01	-0.02	0.02	0.01	0.03	0.02	0.03	0.04	0.01	0.02	0.03	0.00	-0.00
qP_L3	0.04	0.07	0.05	0.07	0.08	0.07	0.05	0.05	0.04	0.05	0.06	0.04	0.04	0.01	0.05
qP_L4	0.12	0.10	0.07	0.11	0.10	0.13	0.04	0.06	0.08	0.09	0.11	0.04	0.00	0.16	0.04
qP_Lss	0.13	0.14	0.09	0.14	0.14	0.14	0.07	0.09	0.11	0.12	0.11	0.06	0.04	0.15	0.07
qP_D1	0.96	0.96	0.96	0.96	0.96	0.96	0.95	0.95	0.96	0.96	0.96	0.96	0.96	0.97	0.96
qP_D2	0.96	0.96	0.95	0.96	0.95	0.95	0.96	0.96	0.96	0.96	0.96	0.96	0.96	0.98	0.96
qP_D3	0.96	0.96	0.95	0.97	0.96	0.96	0.97	0.96	0.97	0.96	0.96	0.97	0.96	0.97	0.97
qL_L1	0.11	0.11	-0.21	0.21	0.08	0.25	-0.03	-0.01	0.28	0.23	0.21	0.03	-0.24	0.13	-0.06
qL_L2	-0.22	-0.15	-0.13	-0.17	-0.00	-0.05	-0.06	0.01	0.05	0.10	-0.06	-0.02	-0.00	-0.23	-0.28
qL_L3	0.06	0.22	0.06	0.22	0.24	0.22	-0.01	0.10	0.06	0.10	0.16	0.04	-0.05	-0.24	-0.05
qL_L4	0.32	0.25	0.03	0.30	0.29	0.37	-0.13	0.09	0.16	0.25	0.33	-0.09	-0.30	0.44	-0.15
qL_Lss	0.32	0.37	0.18	0.36	0.35	0.41	-0.08	0.14	0.24	0.29	0.24	0.01	-0.12	0.30	-0.08
qL_D1	1.16	1.20	1.22	1.15	1.17	1.19	1.23	1.20	1.20	1.20	1.17	1.22	1.21	1.16	1.18
qL_D2	1.17	1.22	1.26	1.17	1.24	1.22	1.21	1.17	1.21	1.20	1.20	1.23	1.21	1.14	1.21
qL_D3	1.17	1.23	1.26	1.15	1.20	1.19	1.16	1.17	1.16	1.19	1.19	1.18	1.20	1.17	1.19
Rfd_L1	0.18	0.21	0.22	0.17	0.19	0.19	0.26	0.19	0.20	0.21	0.19	0.23	0.21	0.24	0.25
Rfd_L2	0.71	0.59	0.58	0.66	0.56	0.61	0.83	0.80	0.64	0.59	0.51	0.56	0.73	0.51	0.71
Rfd_L3	1.14	1.01	0.97	1.12	1.01	1.06	1.26	1.19	1.07	0.97	0.95	0.98	1.15	0.93	1.19
Rfd_L4	1.63	1.39	1.41	1.57	1.42	1.48	1.76	1.66	1.55	1.39	1.40	1.31	1.54	1.62	1.55
Rfd_Lss	1.84	1.59	1.61	1.84	1.69	1.67	2.21	2.05	1.83	1.61	1.57	1.58	1.88	1.96	1.81
