FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8
NPQ_D3	0.27	0.19	0.22	0.20	0.16	0.22	0.19	0.17
qN_L1	0.15	0.12	0.16	0.12	0.11	0.20	0.12	0.12
qN_L2	0.45	0.38	0.48	0.44	0.44	0.50	0.41	0.38
qN_L3	0.56	0.53	0.60	0.57	0.56	0.59	0.56	0.53
qN_L4	0.62	0.61	0.65	0.63	0.63	0.65	0.63	0.62
qN_Lss	0.64	0.63	0.67	0.66	0.66	0.69	0.65	0.65
qN_D1	0.30	0.32	0.38	0.29	0.22	0.29	0.22	0.23
qN_D2	0.23	0.18	0.23	0.19	0.14	0.21	0.17	0.16
qN_D3	0.20	0.16	0.19	0.16	0.12	0.19	0.15	0.14
qP_L1	-0.03	0.02	-0.01	-0.01	0.03	-0.03	0.03	0.06
qP_L2	-0.02	-0.03	-0.02	-0.02	-0.02	0.04	-0.04	0.01
qP_L3	0.00	0.00	-0.04	-0.02	-0.04	0.04	-0.05	0.07
qP_L4	-0.02	0.09	-0.04	-0.04	-0.00	0.03	0.00	0.21
qP_Lss	-0.02	0.12	-0.05	-0.04	-0.02	0.06	0.06	0.24
qP_D1	0.96	0.96	0.94	0.95	0.96	0.94	0.96	0.97
qP_D2	0.95	0.95	0.94	0.93	0.96	0.95	0.96	0.96
qP_D3	0.96	0.95	0.95	0.95	0.97	0.96	0.96	0.96
qL_L1	-0.42	-0.10	-0.22	-0.24	0.04	-0.27	0.04	0.24
qL_L2	-0.48	-0.45	-0.30	-0.36	-0.35	-0.01	-0.56	-0.15
qL_L3	-0.42	-0.32	-0.43	-0.42	-0.52	-0.04	-0.62	0.01
qL_L4	-0.66	-0.08	-0.45	-0.53	-0.39	-0.12	-0.46	0.43
qL_Lss	-0.65	-0.02	-0.58	-0.53	-0.49	-0.09	-0.31	0.39
qL_D1	1.14	1.15	1.15	1.18	1.16	1.18	1.18	1.15
qL_D2	1.16	1.24	1.20	0.97	1.19	1.16	1.22	1.21
qL_D3	1.17	1.22	1.21	1.22	1.16	1.15	1.20	1.19
Rfd_L1	0.28	0.28	0.29	0.26	0.26	0.27	0.27	0.30
Rfd_L2	0.93	0.70	0.95	0.85	0.83	0.99	0.74	0.72
Rfd_L3	1.42	1.28	1.41	1.35	1.26	1.37	1.40	1.30
Rfd_L4	1.77	2.12	1.75	1.70	1.75	1.73	1.81	2.25
Rfd_Lss	1.95	2.31	1.87	1.87	1.97	2.05	2.18	2.77
